  NumNodes: 3327
  NumEdges: 9228
  NumFeats: 3703
  NumClasses: 6
  NumTrainingSamples: 120
  NumValidationSamples: 500
  NumTestSamples: 1000
Done loading data from cached files.
Dataset: citeseer | #Nodes: 3327 | #Edges: 12431 | #Classes: 6 |#Features: 3703
Exp 0/10
************************************
Start fitting model
************************************
Epoch 00019 | Loss(calibration) 0.7526 | Loss(load) 1.1350 |
Epoch 00020 | Loss(calibration) 0.7483 | Loss(load) 0.8689 |
Epoch 00021 | Loss(calibration) 0.7751 | Loss(load) 0.8427 |
Epoch 00022 | Loss(calibration) 0.8456 | Loss(load) 0.8752 |
Epoch 00023 | Loss(calibration) 0.8133 | Loss(load) 0.4657 |
Epoch 00024 | Loss(calibration) 0.7830 | Loss(load) 0.4004 |
Epoch 00025 | Loss(calibration) 0.7706 | Loss(load) 0.4396 |
Epoch 00026 | Loss(calibration) 0.7793 | Loss(load) 0.5561 |
Epoch 00027 | Loss(calibration) 0.7797 | Loss(load) 0.7196 |
Epoch 00028 | Loss(calibration) 0.7797 | Loss(load) 0.9334 |
Epoch 00029 | Loss(calibration) 0.7669 | Loss(load) 0.6864 |
Epoch 00030 | Loss(calibration) 0.7347 | Loss(load) 0.6654 |*
Epoch 00031 | Loss(calibration) 0.7753 | Loss(load) 0.6997 |
Epoch 00032 | Loss(calibration) 0.7724 | Loss(load) 0.4611 |
Epoch 00033 | Loss(calibration) 0.7995 | Loss(load) 0.4903 |
Epoch 00034 | Loss(calibration) 0.7876 | Loss(load) 0.6549 |
Epoch 00035 | Loss(calibration) 0.7385 | Loss(load) 0.5215 |
Epoch 00036 | Loss(calibration) 0.7204 | Loss(load) 0.2754 |*
Epoch 00037 | Loss(calibration) 0.7274 | Loss(load) 0.4499 |
Epoch 00038 | Loss(calibration) 0.7314 | Loss(load) 0.5620 |
Epoch 00039 | Loss(calibration) 0.7420 | Loss(load) 0.4738 |
Epoch 00040 | Loss(calibration) 0.7604 | Loss(load) 0.5775 |
Epoch 00041 | Loss(calibration) 0.7560 | Loss(load) 0.6073 |
Epoch 00042 | Loss(calibration) 0.7307 | Loss(load) 0.3631 |
Epoch 00043 | Loss(calibration) 0.6843 | Loss(load) 0.3167 |*
Epoch 00044 | Loss(calibration) 0.7248 | Loss(load) 0.4796 |
Epoch 00045 | Loss(calibration) 0.7265 | Loss(load) 0.4337 |
Epoch 00046 | Loss(calibration) 0.7553 | Loss(load) 0.4702 |
Epoch 00047 | Loss(calibration) 0.7511 | Loss(load) 0.3967 |
Epoch 00048 | Loss(calibration) 0.7488 | Loss(load) 0.2964 |
Epoch 00049 | Loss(calibration) 0.7324 | Loss(load) 0.1581 |
Epoch 00050 | Loss(calibration) 0.7136 | Loss(load) 0.5236 |
Epoch 00051 | Loss(calibration) 0.7094 | Loss(load) 0.5732 |
Epoch 00052 | Loss(calibration) 0.7103 | Loss(load) 0.1970 |
Epoch 00053 | Loss(calibration) 0.7133 | Loss(load) 0.1825 |
Epoch 00054 | Loss(calibration) 0.7111 | Loss(load) 0.1781 |
Epoch 00055 | Loss(calibration) 0.7125 | Loss(load) 0.1777 |
Epoch 00056 | Loss(calibration) 0.7149 | Loss(load) 0.1848 |
Epoch 00057 | Loss(calibration) 0.6952 | Loss(load) 0.2958 |
Epoch 00058 | Loss(calibration) 0.6956 | Loss(load) 0.2540 |
Epoch 00059 | Loss(calibration) 0.7080 | Loss(load) 0.2237 |
Epoch 00060 | Loss(calibration) 0.7278 | Loss(load) 0.7219 |
Epoch 00061 | Loss(calibration) 0.7231 | Loss(load) 0.7402 |
Epoch 00062 | Loss(calibration) 0.7304 | Loss(load) 0.1864 |
Epoch 00063 | Loss(calibration) 0.7232 | Loss(load) 0.6807 |
Epoch 00064 | Loss(calibration) 0.6845 | Loss(load) 0.7161 |
Epoch 00065 | Loss(calibration) 0.7046 | Loss(load) 0.2810 |
Epoch 00066 | Loss(calibration) 0.7081 | Loss(load) 0.5301 |
Epoch 00067 | Loss(calibration) 0.6900 | Loss(load) 0.5681 |
Epoch 00068 | Loss(calibration) 0.7187 | Loss(load) 0.2608 |
Epoch 00069 | Loss(calibration) 0.7198 | Loss(load) 0.4481 |
Epoch 00070 | Loss(calibration) 0.7121 | Loss(load) 0.6613 |
Epoch 00071 | Loss(calibration) 0.6976 | Loss(load) 0.5131 |
Epoch 00072 | Loss(calibration) 0.6851 | Loss(load) 0.2763 |
